receiver,amount
0x4218e83dc34ee0d7a9d0015cfa733778b87be2a4,70
0x54d4b29ec9790adae55706cabada800f55d30ba9,70
0xf8bae286eb7a89148f4ad881336b6d3a2f1a505e,70
0x4399ff9c4ac9995aca4cbd0be12ad896e88c6e88,70
0x70f438b16b97b3e7368a5ce960da4dd099243ba2,70
0x8cf981990f6bb92d4d8955691601155c76c3866e,70
0x2cda33e285d8fd3765805a44f6eb43e08c612da5,70
0x76edf2b23c53597f47337b41a00b07548aa7aad3,70
0xa4b7b8097843fc1499f2e1f8501d37b765ba45e7,70
0xafe3bf864c426f11115b07d5899a4419504eeded,70
0xcb0de96002e92800cff0398ffc3d22c8aa196051,70
0xff88a2ade119cbfd258e2828bb88d11259d9d34a,70
 swopes.eth,70
 niftish.eth,70
 isiah.eth,70
0x86ee8ed9bfafff49f0e250bd39e8bb1ac93eaefc,70
0xf5B4635f3858a2Bc80a17BD4450E05a35Ad99A72,70
0x6716b6737620922ACC8F8B8A4c2A6D706F3224FF,70
0x6a7dbfFD83C6808651223eFCAf7eA88161290E2b,70
0xf551432d1a16066203d9b1816ffA458eA6f2183a,70
0x8353A1264A7D8c7DE77a8cd50A58F649A352D7aB,70
0x58D9A499AC82D74b08b3Cb76E69d8f32e1395746,70
0x7AAEE144a14Ec3ba0E468C9Dcf4a89Fdb62C5AA6,70
0xf34F24bc729473f06B27896F5da185C6e1Dc2e29,70
0x5656cB4721C21E1F5DCbe03Db9026ac0203d6e4f,70
0xEb4Db23c27253077Fb3080adda6C5C127b0dACAe,70
0xa978f4d96F73c33DCdc26822cC15d8fC30eFAf91,70
0x830f21710EAf94a1c14484E48d9B34206C263dd7,70
0xD6278E5EeA2981B1D4Ad89f3d6C44670caD6E427,70
0x55B58545C37a23Ab68eB380116aaCE5eaF7FF564,70
0x48d6884394E6f7fE7C01833c4581468d060A7543,70
0xb03F5438f9A243De5C3B830B7841EC315034cD5f,70
0x3651A9b418c3Be3d183Ed6fC860D05CE357a3dBe,70
0xd3085d43D3ecec98C3AD560c6ed7BE62CFA3341d,70
0x118119F94056CAC1AD28882907ED0828FE792002,70
0x9aBCD812bFFc1ef2E81a2DDe75B5eD8809289D9D,70
0x34A6eA325542218947BC078FA9EFA68ae22200E9,70
0xBB8FB8fE5198f25D117C0e7B1b9C8260CB19C3C0,70
0x68Db91D7Be097c96A7e4034105bb4861434f7710,70
0x7F7bAc92AA3e28351F9E89535CA334e8A44542d0,70
0x94824d798C4d2fd2e093EE4e0084d2f1F75F7554,70
0xF9704FD48eD670d4868a5EBcE3c2E48F062Ba4F1,70
0xaFFc125BeDcEeB034110c1939426A3948791ef18,70
0xA9faD5A2DA799b5D9b12D1aAbd15421cA17A19C1,70
0x4541C852aDdC826ea6D4A1fF6d55e855490FaCc7,70
0x0c13865038ee12f457a6e9950449ce99da3c7c0e,35
0x35705875292c8b534ebae03f88577a2af38fd960,35
0xe2a9505f4444ad78e25bb43398926987ba31c209,35
0x672f331e66c25b6d382ff2758cc78da309606bee,35
0xe7e84204b7e180454e5c40d0e04d346214a83f85,35
0x10fdbff07af3cd9ac8bac848b850fe3edbfacb2f,35
0x453cfa6543227010c11ec333ea176d58a4cd36d0,35
0x9ca9ae524bba6af906ec94b4c8de5939b9b88a0b,35
0xa7abd1d77daaab645b91ac671775d386247a782a,35
0xaa5172dd184b096143eb213d9a9c1ed784c13a12,35
0xb5619ba9d7f67254e4c53c8be903d951b551c9a5,35
0x02F6582DCdc0EAc9160699E18081EAFD45F2b6Dc ,35
0x04fb5857bd5D98780602b84Bf03eaBDB0d3FF90B ,35
0x0D4b283389d81544E3Ac8B0ceAD50b29497356fe ,35
0x179cC59664dE36902ea6432959187719c40ff0A3 ,35
0x2619c649d98DDdDBB0B218823354FE1D41bF5Ce0 ,35
0x2f58348ecaA142dcE44A27C6E2d0fdd438586924 ,35
0x33357A60c860b77b64c1F6Cceb926560Bb38c926 ,35
0x4252Bf89d4225C587c797820028f7fEf080C33F4 ,35
0x5586210f7f7d5ED9C5c7bd3F43fa9E25534500F2 ,35
0x5b0236eFb2e4b145d4559a6C4a809679AD84b566 ,35
0x5E19E4ec041bc5910e69aA59301266102F6c6fBc ,35
0x683a42E5B414Ae5cF79ece7e369cA5937fdcDC11 ,35
0x7DDBcB5be8b445A60C15380137e6f7d6Ef468919 ,35
0x8e8D8006D5E79AC313D2B72C2543cDB9c7b07C01 ,35
0x9335c762838fF550e9374cC920a82740447D7A06 ,35
0x963B0a3b35dCF537099239cB17Efc52dCc5BD4fA ,35
0x974BBC9C9b8A1b81e92DF9D1457D2DF98941814E ,35
0xb176cf54292e871E4FA054879cc83Bd453541074 ,35
0xB401bD6e89eAb0A37071884608e0f49D4409319a ,35
0xB8F77A3d6497f916a4D1f3A799B56647CFc9b21F ,35
0xBED91489c62720A9d844EDcFB920928fB0454041 ,35
0xc31D78AF086b9212Ca55b39563A8a91524f36d71 ,35
0xc7237D241BAd0CcdeD45320511195fCC2a6C14AA ,35
0xddDBe1F37a45075523eAc37B59Bfe523BB76Bd22 ,35
0xE3062bBf986d0bc0af74f963B62c1008894A46bC ,35
0xEe72802c043e96f4363946dD23740262CD968155 ,35
0xf06e77fd9289763C1EfdA7B6901f388F47656102,35
0xFB40932271Fc9Db9DbF048E80697E2Da4AA57250,35
0x6e21b422ac130e4f78991d89fca78cdf54c802f5,35
0xb1287c833c17feb2289d828543458ed938a40d12,35
0xdaddda7c8f5075cf7d5f04d48d98f54dd3177c88,35
0x18a8bda3905f2f865162cc7d2b32b34f217555c1,35
0xc2a29806c23579a3bb42d08ee089faefcd731b7e,35
0xce5dfcbbd0698cb1f40753efd6522163b8f26d7d,35
0x35111641bb19662b351ff23595691979c8f33ec3,35
0xc2e9661be07035f49b55a7405cbb39dc19d0901e,35
0xbc058992bade2c23b12cc1b62aad0bb5f8d169dd,35
0x1e50b3f8c71879a44fab7463f3a01ffe177ae2d3,35
0x369434192ae1d4c7b7d33a331ec092d4832763f9,35
0x97e00a21a7fce8fc9d4e0df8d0442ac686d6f866,35
0x43dc2f545bb046b8f3c46f4baeec9ee7b4f24b9b,35
0xdf6d32981752c438a8adfc801576e4e4dac204c0,35
0x488ed54ca0ae6d64683286278be99e9c3a9c203e,35
